text,label,text_clean
Breaking: celebrity X died in crash,rumour,breaking celebrity x died in crash
Official hospital statement: X is alive,not_rumour,official hospital statement x is alive
Govt released new policy today,not_rumour,govt released new policy today
Read this shocking claim about vaccines,rumour,read this shocking claim about vaccines
New study shows healthy benefits of workout,not_rumour,new study shows healthy benefits of workout
Anonymous source says company is bankrupt,rumour,anonymous source says company is bankrupt
Breaking: city to go into lockdown tomorrow,rumour,breaking city to go into lockdown tomorrow
Local authority tweeted official schedule today,not_rumour,local authority tweeted official schedule today
Shocking: new pill promises instant weight loss,rumour,shocking new pill promises instant weight loss
Hospital confirms patient recovered and released,not_rumour,hospital confirms patient recovered and released
"Celebrity posts photo from vacation, not dead",not_rumour,celebrity posts photo from vacation not dead
Viral post claims water turns into gold,rumour,viral post claims water turns into gold
New tax change announced on government website,not_rumour,new tax change announced on government website
Anonymous blog claims school to close next week,rumour,anonymous blog claims school to close next week
Company press release confirms profits up,not_rumour,company press release confirms profits up
Rumour: famous actor arrested — no official source,rumour,rumour famous actor arrested no official source
Confirmed: festival dates released by organizers,not_rumour,confirmed festival dates released by organizers
Shared image claims to show alien base,rumour,shared image claims to show alien base
Mayor's office releases safety guidelines,not_rumour,mayor s office releases safety guidelines
Post claims miracle cure for diabetes,rumour,post claims miracle cure for diabetes
University posts exam schedule on portal,not_rumour,university posts exam schedule on portal
Message: bank is closing accounts tomorrow,rumour,message bank is closing accounts tomorrow
Official metro account reports service update,not_rumour,official metro account reports service update
Leaflet claims new ingredient is banned,rumour,leaflet claims new ingredient is banned
Scientific journal publishes new study on vaccines,not_rumour,scientific journal publishes new study on vaccines
Screenshot claims celebrity endorsement — fake,rumour,screenshot claims celebrity endorsement fake
Company HR announces new hiring drive,not_rumour,company hr announces new hiring drive
Forum rumor that ATM are running out of cash,rumour,forum rumor that atm are running out of cash
Police department posts missing person alert,not_rumour,police department posts missing person alert
Tweet claims city will be flooded next week,rumour,tweet claims city will be flooded next week
News site reports verified election results,not_rumour,news site reports verified election results
Post says phone company giving free phones,rumour,post says phone company giving free phones
School posts official holiday notice,not_rumour,school posts official holiday notice
Chain message claims free vouchers for everyone,rumour,chain message claims free vouchers for everyone
Mayor shares photos of new public park,not_rumour,mayor shares photos of new public park
Rumour: bank hacked — no official report,rumour,rumour bank hacked no official report
Local health dept posts vaccination schedule,not_rumour,local health dept posts vaccination schedule
Viral video claims instant wealth scheme works,rumour,viral video claims instant wealth scheme works
TV channel confirms live event schedule,not_rumour,tv channel confirms live event schedule
Message claiming celebrity endorses scam,rumour,message claiming celebrity endorses scam
Official railway account posts delay notice,not_rumour,official railway account posts delay notice
